| lambda | capacity |       W | L_direct | L_little | error_% |
|------: |--------: |-------: |--------: |--------: |-------: |
|  0.497 |        2 |    1.18 |     0.59 |    0.586 |    -0.7 |
|  0.499 |        3 |   1.007 |      0.5 |    0.502 |    0.57 |
|  0.494 |        4 |   1.027 |    0.504 |    0.508 |     0.6 |
|  1.017 |        2 |   1.238 |    1.266 |    1.259 |   -0.51 |
|  1.004 |        3 |     1.1 |    1.106 |    1.104 |   -0.16 |
|  0.994 |        4 |    0.97 |    0.972 |    0.964 |   -0.79 |
|  1.515 |        2 |   2.515 |    3.818 |     3.81 |   -0.22 |
|  1.521 |        3 |   1.166 |    1.774 |    1.774 |   -0.03 |
|  1.515 |        4 |   1.007 |    1.543 |    1.526 |   -1.16 |
|  1.981 |        2 |  20.542 |    41.35 |   40.693 |   -1.59 |
|   2.02 |        3 |   1.355 |    2.746 |    2.737 |   -0.34 |
|  2.026 |        4 |   1.128 |    2.292 |    2.285 |   -0.28 |
|  1.884 |        2 | 124.022 |  311.087 |  233.658 |  -24.89 |
|  2.489 |        3 |   1.996 |    4.973 |    4.968 |    -0.1 |
|  2.532 |        4 |   1.135 |    2.839 |    2.873 |    1.19 |
