| rho | mean_Wq | mean_Ws |  mean_W | theory_W | L_sampled | L_little |
| :-: | :-----: | :-----: | :-----: | :------: | :-------: | :------: |
| 0.1 |  0.1181 |  1.0085 |  1.1266 |  1.1111  |   0.113   |  0.1124  |
| 0.2 |  0.234  |  0.9866 |  1.2206 |   1.25   |   0.241   |  0.2389  |
| 0.3 |  0.4738 |  0.9989 |  1.4727 |  1.4286  |   0.4478  |  0.449   |
| 0.4 |  0.6573 |  1.0066 |  1.6639 |  1.6667  |   0.6658  |  0.6645  |
| 0.5 |  0.9963 |  0.9831 |  1.9795 |   2.0    |   0.995   |  0.9953  |
| 0.6 |  1.4193 |  0.9935 |  2.4128 |   2.5    |   1.4549  |  1.455   |
| 0.7 |  2.3067 |   1.0   |  3.3067 |  3.3333  |   2.2979  |  2.3008  |
| 0.8 |  4.0708 |  1.007  |  5.0778 |   5.0    |   4.0842  |  4.0841  |
| 0.9 | 10.4621 |  0.9976 | 11.4597 |   10.0   |  10.4234  | 10.4169  |
